,age,matches,tournaments,wins,losses,winrate
1788,21,194,33,112,82,0.5773195876288659
1796,22,159,34,75,84,0.4716981132075472
1803,26,86,22,39,47,0.45348837209302323
1804,26,173,18,136,37,0.7861271676300579
1810,25,76,21,49,27,0.6447368421052632
1811,21,108,21,50,58,0.46296296296296297
1813,28,26,11,10,16,0.38461538461538464
1815,18,211,35,128,83,0.6066350710900474
1816,23,194,37,124,70,0.6391752577319587
1820,25,62,19,41,21,0.6612903225806451
1823,25,40,9,20,20,0.5
1825,18,51,12,24,27,0.47058823529411764
1827,26,67,11,26,41,0.3880597014925373
1830,32,76,17,35,41,0.4605263157894737
1836,25,93,23,53,40,0.5698924731182796
1838,19,270,42,162,108,0.6
1839,23,228,26,144,84,0.631578947368421
1843,21,31,7,9,22,0.2903225806451613
1844,19,280,50,153,127,0.5464285714285714
1852,22,209,41,131,78,0.6267942583732058
1861,31,194,49,97,97,0.5
1864,18,47,4,24,23,0.5106382978723404
1865,20,197,39,111,86,0.5634517766497462
1872,24,186,28,112,74,0.6021505376344086
1876,27,62,12,32,30,0.5161290322580645
1878,19,63,18,21,42,0.3333333333333333
1879,21,205,43,135,70,0.6585365853658537
1880,26,378,48,218,160,0.5767195767195767
1881,24,323,44,218,105,0.6749226006191951
1883,21,101,15,48,53,0.4752475247524752
1884,28,156,23,94,62,0.6025641025641025
1885,23,281,43,160,121,0.5693950177935944
1886,24,145,29,64,81,0.4413793103448276
1887,21,76,14,43,33,0.5657894736842105
1889,33,262,32,158,104,0.6030534351145038
1893,19,100,16,47,53,0.47
1894,22,294,41,169,125,0.5748299319727891
1895,19,113,15,64,49,0.5663716814159292
1898,23,141,21,83,58,0.5886524822695035
1899,23,77,21,29,48,0.37662337662337664
1900,27,152,19,98,54,0.6447368421052632
1901,19,154,19,81,73,0.525974025974026
1904,16,57,7,38,19,0.6666666666666666
1906,30,128,24,71,57,0.5546875
1909,22,125,19,67,58,0.536
1912,18,116,33,74,42,0.6379310344827587
1913,27,261,39,165,96,0.632183908045977
1914,21,207,30,127,80,0.6135265700483091
1915,20,136,23,72,64,0.5294117647058824
